name,extract_vol,mg_gluta_vol,k_gluta_vol,aa_vol,peg_vol,hepes_vol,trna_vol,coa_vol,nad_vol,camp_vol,folinic_acid_vol,spermidine_vol,pga_vol,nucleo_mix_vol,dna_high_high_vol,dna_high_low_vol,dna_low_high_vol,dna_low_low_vol,water_vol
F7,3.52,0.25,0.25,0.2625,0.525,0.25,0.125,0.0125,0.0375,0.0125,0.0125,0.0375,0.0675,0.125,1.75,0.0,0.0,0.0,3.2625
F8,3.52,0.25,0.25,0.2625,0.525,0.25,0.125,0.0125,0.0375,0.0125,0.0125,0.0375,0.0675,0.125,1.75,0.0,0.0,0.0,3.2625
F9,3.52,0.25,0.25,0.2625,0.525,0.25,0.125,0.0125,0.0375,0.0125,0.0125,0.0375,0.0675,0.125,1.75,0.0,0.0,0.0,3.2625
F10,3.52,0.125,0.025,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0625,0.0625,0.0225,0.0625,1.75,0.0,0.0,0.0,3.2575000000000003
F11,3.52,0.075,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0375,0.0375,0.0225,0.0625,1.75,0.0,0.0,0.0,3.2575000000000003
F12,3.52,0.125,0.025,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0625,0.0625,0.0225,0.0625,1.75,0.0,0.0,0.0,3.2575000000000003
F13,3.52,0.075,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0375,0.0375,0.0225,0.0625,1.75,0.0,0.0,0.0,3.2575000000000003
F14,3.52,0.125,0.025,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0625,0.0625,0.0225,0.0625,1.75,0.0,0.0,0.0,3.2575000000000003
F15,3.52,0.075,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0375,0.0375,0.0225,0.0625,1.75,0.0,0.0,0.0,3.2575000000000003
F16,3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0125,0.0375,0.125,0.0675,0.125,1.75,0.0,0.0,0.0,3.2375000000000003
F17,3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0125,0.0375,0.125,0.0675,0.125,1.75,0.0,0.0,0.0,3.2375000000000003
F18,3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0125,0.0375,0.125,0.0675,0.125,1.75,0.0,0.0,0.0,3.2375000000000003
F19,3.52,0.025,0.075,0.7875,0.525,0.25,0.0625,0.0375,0.0125,0.0125,0.0625,0.0625,0.0225,0.0625,1.75,0.0,0.0,0.0,3.2325
F20,3.52,0.025,0.075,0.7875,0.525,0.25,0.0625,0.0375,0.0125,0.0125,0.0625,0.0625,0.0225,0.0625,1.75,0.0,0.0,0.0,3.2325
F21,3.52,0.025,0.075,0.7875,0.525,0.25,0.0625,0.0375,0.0125,0.0125,0.0625,0.0625,0.0225,0.0625,1.75,0.0,0.0,0.0,3.2325
F22,3.52,0.025,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0625,0.0125,0.1125,0.0625,1.75,0.0,0.0,0.0,3.2175000000000002
F23,3.52,0.025,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0625,0.0125,0.1125,0.0625,1.75,0.0,0.0,0.0,3.2175000000000002
G2,3.52,0.025,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0625,0.0125,0.1125,0.0625,1.75,0.0,0.0,0.0,3.2175000000000002
G3,3.52,0.075,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0375,0.0125,0.1125,0.0625,1.75,0.0,0.0,0.0,3.1925
G4,3.52,0.075,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0375,0.0125,0.1125,0.0625,1.75,0.0,0.0,0.0,3.1925
G5,3.52,0.075,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0375,0.0125,0.1125,0.0625,1.75,0.0,0.0,0.0,3.1925
G6,3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.0125,0.0625,0.0375,0.125,0.0625,0.0675,0.125,1.75,0.0,0.0,0.0,3.1875
G7,3.52,0.025,0.075,0.7875,0.525,0.25,0.0625,0.0375,0.0625,0.0375,0.0375,0.0375,0.0675,0.0375,1.75,0.0,0.0,0.0,3.1875
G8,3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.0125,0.0625,0.0375,0.125,0.0625,0.0675,0.125,1.75,0.0,0.0,0.0,3.1875
