# nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,y_data,y_data_std,y_pr,y_std_pr
0.165,0.0068,0.026,0.75,0.1,15,0.15,0.06,0.4,0.075,40,0.0892,0.0152,0.458463,0.069757
0.099,0.034,0.026,0.75,0.1,15,0.15,0.02,0.4,0.075,40,0.1394,0.0487,0.455333,0.064852
0.033,0.0204,0.026,0.15,0.1,15,0.15,0.02,2,0.075,40,0.6124,0.0061,0.565819,0.058204
0.033,0.0204,0.078,0.75,0.1,15,0.15,0.06,0.4,0.075,40,0.2666,0.0608,0.431275,0.058501
0.165,0.0204,0.026,0.15,0.1,15,0.15,0.02,1.2,0.075,40,0.6021,0.0053,0.455854,0.041516
0.033,0.0204,0.078,0.45,0.1,15,0.15,0.02,1.2,0.075,40,0.7816,0.0223,0.515147,0.040717
0.033,0.0204,0.026,0.75,0.1,9,0.15,0.02,2,0.075,40,1.1268,0.0329,1.008499,0.036781
0.099,0.0068,0.026,0.45,0.1,9,0.15,0.06,2,0.075,40,0.8262,0.034,0.893046,0.055948
0.165,0.0204,0.026,0.75,0.1,9,0.15,0.1,0.4,0.075,40,0.8392,0.0189,0.629938,0.066886
0.099,0.0204,0.026,0.75,0.1,3,0.15,0.06,2,0.075,40,0.9347,0.0137,1.150643,0.041112
0.099,0.0068,0.026,0.45,0.1,15,0.15,0.02,2,0.075,40,0.9809,0.0189,0.755323,0.045494
0.099,0.0068,0.026,0.75,0.3,15,0.15,0.02,1.2,0.075,40,1.2295,0.0446,1.074045,0.037122
0.033,0.0068,0.026,0.75,0.3,15,0.15,0.06,1.2,0.075,40,1.257,0.0468,1.084776,0.043139
0.099,0.0204,0.026,0.45,0.1,15,0.15,0.06,1.2,0.075,40,0.8441,0.0276,0.573338,0.042399
